Date,Open,High,Low,Close,Adj Close,Volume
14/04/2016,164,164.649994,162.009995,163.169998,161.134964,81700
15/04/2016,162.770004,163.940002,161.25,161.580002,159.564774,37300
18/04/2016,160.809998,163.089996,160.169998,162.449997,160.423935,72400
19/04/2016,163.389999,167.419998,160.960007,166.619995,164.541931,77700
20/04/2016,166.320007,166.990005,163.710007,164.419998,162.369339,96200
21/04/2016,163.770004,165.619995,157.699997,159.5,157.510712,201600
22/04/2016,159.660004,161.529999,158.100006,160.919998,158.912994,101400
25/04/2016,158.940002,162.610001,158.199997,162.300003,160.275803,51100
26/04/2016,161.949997,163.520004,159.630005,160.940002,158.932739,105800
27/04/2016,161,162.440002,159.660004,160.419998,158.665726,84200
28/04/2016,159.779999,161.899994,157.550003,158.25,156.519455,93800
29/04/2016,159.020004,159.850006,157.529999,159.369995,157.627197,31800
2/05/2016,159.100006,164.509995,158.5,164.360001,162.562637,61500
3/05/2016,163.339996,164.460007,160.550003,161.550003,159.783371,65300
4/05/2016,161.300003,164.710007,159.970001,164,162.206543,53400
5/05/2016,163.570007,166.050003,163,165.570007,163.759384,33500
6/05/2016,165.789993,165.809998,163.679993,165.720001,163.907761,26700
9/05/2016,166.320007,167.369995,164.570007,165.699997,163.887985,59000
10/05/2016,165.809998,167.940002,165.119995,166.990005,165.163879,32700
11/05/2016,165.309998,165.309998,144.589996,146.179993,144.581436,317600
12/05/2016,148.110001,151.279999,147.220001,149.270004,147.63765,119600
13/05/2016,148.860001,150.979996,147.5,148.729996,147.103561,48000
16/05/2016,148.860001,149.5,137.5,138.720001,137.203018,416300
17/05/2016,138.070007,138.660004,131.509995,133.259995,131.802719,359300
18/05/2016,133.979996,135.690002,129,134.089996,132.623642,269800
19/05/2016,134.080002,134.160004,125.709999,126.599998,125.215553,306300
20/05/2016,126.650002,129.259995,123.889999,128.699997,127.292587,201900
23/05/2016,129.559998,132.5,128.050003,128.550003,127.144226,241800
24/05/2016,129.729996,131,126.910004,128.050003,126.649712,207700
25/05/2016,128.919998,128.919998,125.529999,125.82,124.444084,76900
26/05/2016,125.889999,125.889999,122.879997,123.190002,121.842857,84000
